Nr,Locus,Segregation,Phase,Classification,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
259,pPt-472784,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,nn,nn,np,np,nn,np,np,np,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,np,nn,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,--,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,np
260,pPt-656657,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,nn,nn,np,np,nn,np,np,np,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,np,nn,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,--,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,np
261,pPt-656930,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,nn,nn,np,np,nn,np,np,np,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,--,np,np,np,np,--,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,np,nn,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,np
262,pPt-552198,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,nn,nn,np,np,nn,np,np,np,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,np,nn,nn,np,nn,--,nn,nn,np,np,nn,np,np,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,np,nn,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,np
263,pPt-457188,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,nn,nn,np,np,nn,np,np,np,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,np,nn,nn,np,nn,--,nn,nn,np,np,nn,np,np,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,np,nn,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,nn,--,nn,np,nn,nn,np
264,pPt-458523,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,nn,nn,np,np,nn,np,np,np,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,np,nn,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,np
265,pPt-540222,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,nn,nn,np,np,nn,np,np,np,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,np,nn,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,nn,--,nn,np,nn,nn,np
266,pPt-473247,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,nn,nn,np,np,nn,np,np,np,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,--,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,np,nn,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,np
267,pPt-537616,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,nn,nn,np,np,nn,np,np,np,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,np,nn,nn,np,nn,--,nn,nn,np,np,nn,np,np,np,--,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,np,nn,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,np
268,pPt-473222,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,nn,nn,np,np,nn,np,--,np,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,np,nn,nn,np,nn,--,nn,nn,np,np,nn,np,np,np,--,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,np,nn,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,np
269,pPt-456463,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,nn,nn,np,np,nn,np,np,np,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,np,nn,nn,np,nn,--,nn,nn,np,np,nn,np,np,np,nn,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,np,nn,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,np
270,toPt-441141,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,nn,nn,np,np,nn,np,np,np,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,np,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,np,--,nn,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,np,nn,np,np,nn,np,np,np,np,nn,nn,nn,np,np,nn,np,nn,nn,np,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,--,np,nn,np,nn,nn,np
271,stsnp_c1_6619,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,nn,nn,np,np,nn,np,np,np,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,np,np,np,nn,np,nn,--,--,np,np,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,np,np,nn,np,nn,nn,np,np,nn,np,nn,nn,nn,np,nn,--,--,nn,--,--,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,nn,np,nn,np,np,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,np,nn,np,nn,np,np,nn,nn,nn,np,nn,nn,nn,nn,np
272,stsnp_c1_10582,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,nn,nn,np,np,nn,np,np,np,np,np,nn,np,np,nn,nn,np,np,np,nn,nn,nn,np,np,np,np,nn,np,np,nn,nn,np,np,np,nn,np,nn,nn,--,np,np,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,np,np,nn,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,--,--,nn,--,--,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,nn,np,nn,np,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,nn,nn,np
273,stsnp_c1_10580,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,np,nn,np,np,nn,np,np,np,--,--,nn,np,np,nn,nn,np,np,--,nn,nn,nn,np,np,np,np,nn,np,np,nn,nn,np,np,np,nn,np,nn,nn,np,np,np,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,np,np,nn,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,--,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,nn,np,nn,np,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,nn,nn,np
274,stsnp_c1_261,<nnxnp>,{-1},"(nn,np)",nn,nn,nn,nn,nn,nn,nn,np,np,np,nn,np,nn,nn,np,nn,nn,np,np,nn,np,np,np,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,np,--,--,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,np,np,nn,np,np,np,np,nn,np,np,np,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,nn,np,nn,--,nn,--,--,np,np,np,np,np,np,nn,nn,nn,nn,np,nn,np,np,np,nn,np,nn,np,np,np,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn
275,pPt-457178,<nnxnp>,{-1},"(nn,np)",nn,np,nn,nn,nn,nn,nn,np,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,np,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,np,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,np,np,np,nn,nn,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn
276,toPt-439062,<nnxnp>,{-1},"(nn,np)",nn,np,nn,nn,nn,nn,nn,np,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,np,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,np,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,np,np,np,nn,nn,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,--,nn,nn,nn,nn,np,np,nn,np,nn,np,np,nn,np,--,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,--,--,np,np,--,nn,nn,nn,--,nn,--,--,--,nn
277,pPt-472889,<nnxnp>,{-1},"(nn,np)",nn,np,nn,nn,nn,--,nn,np,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,np,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,np,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,np,np,np,nn,nn,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn
278,pPt-473652,<nnxnp>,{-1},"(nn,np)",nn,np,nn,nn,nn,nn,nn,np,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,np,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,np,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,nn,np,np,nn,np,nn,nn,nn,np,nn,np,np,np,np,np,np,nn,nn,--,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,--,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn
279,pPt-657368,<nnxnp>,{-1},"(nn,np)",nn,np,nn,nn,nn,nn,nn,np,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,np,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,np,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,nn,np,np,nn,np,nn,nn,nn,np,nn,np,np,np,np,np,np,nn,nn,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn
280,PM1355_143,<nnxnp>,{-1},"(nn,np)",nn,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,nn,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,nn,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,nn,nn
281,PM1358_136,<nnxnp>,{-1},"(nn,np)",nn,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,nn,nn
282,PM0126_137,<nnxnp>,{-1},"(nn,np)",nn,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,nn,nn
283,stsnp_c1_14047,<nnxnp>,{-1},"(nn,np)",nn,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,np,nn,nn,nn,--,--,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,--,--,nn,--,--,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn
284,stsnp_c1_3055,<nnxnp>,{-1},"(nn,np)",nn,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,np,nn,nn,nn,--,--,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,nn,np,nn,nn,nn,nn,np,np,nn,nn,np,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,--,nn,--,nn,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,nn,nn
285,stsnp_c1_3057,<nnxnp>,{-1},"(nn,np)",nn,np,nn,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,np,nn,nn,nn,--,--,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,nn,np,np,nn,nn,nn,np,nn,np,np,np,nn,np,--,--,nn,--,--,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,nn,nn
286,PM1337_194,<nnxnp>,{-1},"(nn,np)",nn,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,nn,np,nn,np,nn,nn,np,np,nn,nn,np,nn,np,np,nn,nn,nn,np,np,nn,np,np,nn,np,nn,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,nn,np,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,nn,nn
